,0_df1,1,2,3,4,0_df2
0,-0.0117797851562,-0.13330078125,-0.129309082031,-0.130805969238,-0.137773786272,0.058349609375
1,0.019287109375,-0.143880208333,0.051416015625,-0.0218200683594,-0.0360281808036,0.1181640625
2,-0.05322265625,0.248372395833,-0.02001953125,0.0806274414062,0.0783342633929,0.00885009765625
3,-0.00494384765625,8.13802083333e-05,0.0904418945312,0.0565567016602,0.0740530831473,0.029052734375
4,0.181640625,0.175862630208,0.35390625,0.287139892578,0.272356305804,0.2578125
5,-0.1259765625,-0.260335286458,-0.0179931640625,-0.108871459961,-0.143676757812,0.177734375
6,-0.310546875,-0.0705973307292,-0.0476440429688,-0.0562515258789,-0.0620640345982,0.1318359375
7,-0.185546875,0.123209635417,-0.0778076171875,-0.00242614746094,0.0181535993304,-0.22265625
8,0.1298828125,0.131022135417,0.34140625,0.262512207031,0.229143415179,0.055908203125
9,-0.1875,-0.00548299153646,-0.105859375,-0.0682182312012,-0.0892639160156,0.0140380859375
10,0.197265625,-0.1826171875,0.27158203125,0.101257324219,0.0691266741071,-0.228515625
11,0.048095703125,0.0177408854167,0.209805297852,0.137781143188,0.151430402483,0.302734375
12,0.055908203125,-0.129069010417,0.121887207031,0.0277786254883,0.0134713309152,-0.01416015625
13,0.08203125,0.13818359375,0.0618408203125,0.0904693603516,0.0912562779018,0.09716796875
14,-0.337890625,-0.135579427083,-0.18564453125,-0.166870117188,-0.172014508929,0.00885009765625
15,0.2158203125,0.044921875,0.212023925781,0.149360656738,0.122427804129,-0.0216064453125
16,0.271484375,0.187906901042,0.2625,0.234527587891,0.246268136161,0.1806640625
17,0.15234375,-0.109171549479,0.037744140625,-0.0173492431641,-0.0125732421875,0.251953125
18,-0.1455078125,-0.132731119792,-0.14443359375,-0.140045166016,-0.149100167411,0.014404296875
19,-0.09765625,0.00981903076172,-0.106884765625,-0.06312084198,-0.04577091762,-0.034423828125
20,0.3515625,0.203125,0.148229980469,0.168815612793,0.174098423549,0.138671875
21,0.271484375,0.116373697917,0.092626953125,0.101531982422,0.076416015625,0.0859375
22,-0.041748046875,-0.00233968098958,0.0288330078125,0.0171432495117,-0.0164010184152,0.0869140625
23,0.25,0.1787109375,0.199560546875,0.191741943359,0.198207310268,0.095703125
24,0.2353515625,0.213216145833,0.16455078125,0.182800292969,0.163992745536,0.1318359375
25,-0.28515625,-0.218587239583,-0.230859375,-0.226257324219,-0.216169084821,-0.458984375
26,-0.05517578125,-0.00260416666667,-0.2177734375,-0.137084960938,-0.115094866071,0.022216796875
27,-0.109375,0.00520833333333,-0.0715576171875,-0.0427703857422,-0.0372314453125,0.169921875
28,-0.0751953125,0.0558268229167,-0.161914825439,-0.0802617073059,-0.0916573660714,0.296875
29,0.26953125,0.096435546875,0.2876953125,0.215972900391,0.224086216518,0.1376953125
30,0.03857421875,0.279622395833,0.0376953125,0.12841796875,0.167550223214,0.08935546875
31,-0.2451171875,-0.120747884115,-0.1599609375,-0.14525604248,-0.119689941406,-0.02783203125
32,0.130859375,-0.11669921875,-0.0677734375,-0.0861206054688,-0.0819614955357,-0.03369140625
33,0.0810546875,0.2509765625,0.085595703125,0.147613525391,0.16512625558,0.09375
34,0.09228515625,-0.0225016276042,0.11689453125,0.0646209716797,0.0530657087054,0.25390625
